assignee,date,url,tweets,likes,#breaking,news,,,locality of content,"account kind 
(news, politician, reporter, organization, individual, other)","thread kind 
(list of articles, live tweeting, summary of news, summary of article, opinion, tweetorial, OTHER, REPEAT)",topic,noteworthy,other notes,,
katy,04/09,https://twitter.com/matthewferner/status/1248384724654944257,28,193,FALSE,NO,list,list of articles,USA,reporter,list of articles,general,,,,
katy,04/09,https://twitter.com/Nadine_Writes/status/1248310888945324032,13,182,FALSE,NO,,tweets about article by tweeter explaining link btwn racism & inequality & covid19 risk,UK,reporter,summary of article,racism,,,,
katy,04/09,https://twitter.com/starknightz/status/1248286353122562048,27,138,FALSE,NO,list,collection of articles,USA,individual,list of articles,,,right wing,,
katy,04/09,https://twitter.com/cindygallop/status/1248240894274408449,7,53,FALSE,NO,,tweets about an article,USA,individual,summary of article,day in life of parademic,,,,
katy,04/09,https://twitter.com/arabnews/status/1248113391216066560,16,60,TRUE,YES,updates,updates/list of death stats,global,news,summary of article,general,,,,
katy,04/09,https://twitter.com/OIC_OCI/status/1248146118812356610,7,252,FALSE,NO,updates,updates on a video conference,Middle East,organization,live tweeting,,,,,
katy,04/09,https://twitter.com/vegix/status/1248209380157329408,8,176,FALSE,NO,analysis,analysis of US gov response to situation,USA,individual,list of articles,,,,,
katy,04/09,https://twitter.com/Independent/status/1248166467645984768,9,155,FALSE,NO,list,list of articles from new org,UK,news,list of articles,,,,,
katy,04/09,https://twitter.com/WHO/status/1248019902759186432,7,3509,FALSE,NO,,promoting a book from WHO (WHO account),global,organization,summary of article,,,launch+summary of children's book,,
katy,04/09,https://twitter.com/scroll_in/status/1248081286696177669,31,91,FALSE,NO,,,India,news,summary of article,,,,,
katy,04/10,https://twitter.com/arabnews/status/1248471855574298627,18,99,TRUE,YES,--,,Middle East,news,summary of article,,,,,
katy,04/10,https://twitter.com/scroll_in/status/1248470699364081667,13,54,FALSE,NO,updates,,India,news,summary of article,,,,,
katy,04/10,https://twitter.com/lukemcgee/status/1248546092955971585,7,88,FALSE,NO,article summary,,Europe,reporter,summary of article,,,,,
katy,04/10,https://twitter.com/DrEricDing/status/1248547519610716167,6,3615,FALSE,NO,article summary,,global,individual,summary of article,,epidemilogist,,,
katy,04/10,https://twitter.com/WHO/status/1248546598281449472,19,1423,FALSE,NO,updates,,global,organization,live tweeting,,,,,
katy,04/10,https://twitter.com/arabnews/status/1248471855574298627,10,99,TRUE,YES,,,,,REPEAT,,,,,
katy,04/10,https://twitter.com/cm_merlin/status/1233928298494930944,25,74,FALSE,NO,,,USA,individual,list of articles,,,actually list of news videos,,
katy,04/10,https://twitter.com/AmoneyResists/status/1248473670604881926,30,41100,FALSE,NO,,,USA,individual,opinion,,,,,
katy,04/10,https://twitter.com/WHO/status/1248528763253596161,12,827,FALSE,NO,,,global,organization,live tweeting,,,,,
katy,04/10,https://twitter.com/ABSCBNNews/status/1248797954229460993,6,808,FALSE,YES,,,Philippines,news,live tweeting,,,,,
jennifer,04/10,https://twitter.com/royngerng/status/1248794421920804865,7,109,FALSE,NO,,,"Singapore, Taiwan",individual,summary of article,comparing covid responses,,,,
jennifer,04/10,https://twitter.com/HaticeDenizAVCI/status/1248701024094818304,7,98,FALSE,NO,,,Turkey,individual,list of articles,lockdown response,,,,
jennifer,04/10,https://twitter.com/BenWinslow/status/1248685558945026048,8,55,FALSE,NO,,,Utah,reporter,live tweeting,local covid updates,,,,
jennifer,04/11,https://twitter.com/WHO/status/1248917657333706763,7,2996,FALSE,NO,,,,organization,summary of article,parenting tips,,WHO account,,
jennifer,04/11,https://twitter.com/AJENews/status/1248773379076825090,8,343,FALSE,YES,,,global,news,list of articles,,,,,
jennifer,04/11,https://twitter.com/SteveFDA/status/1248961878937698304,9,61,FALSE,NO,,,USA,politician,list of articles,FDA covid updates,,"not exactly a politician, but a government official",,
jennifer,04/11,https://twitter.com/cnnphilippines/status/1248791865698029574,11,681,FALSE,NO,,,global,news,summary of news,,,,,
jennifer,04/11,https://twitter.com/arabnews/status/1248870708454871040,12,68,FALSE,YES,,,Middle East,news,summary of news,covid stats,,,,
jennifer,04/11,https://twitter.com/cnnphilippines/status/1248791865698029574,9,681,FALSE,NO,,,,,REPEAT,,,,,
jennifer,04/11,https://twitter.com/alexwickham/status/1248893176749973504,14,270,FALSE,NO,,,UK,reporter,summary of article,impact of failed covid response on gov,,,,
jennifer,04/11,https://twitter.com/scroll_in/status/1249173008482217984,7,123,FALSE,NO,,,global,news,summary of article,covid impact/response,,,,
jennifer,04/11,https://twitter.com/DrDenaGrayson/status/1249119292458708992,6,1203,FALSE,NO,,,USA,individual,summary of news,lot of personal commentary,doctor,somewhat tweetorial-like in how it explains why covid is still threat,,
jennifer,04/11,https://twitter.com/josephwillits/status/1244343616258166784,26,10194,FALSE,NO,,,UK,individual,list of articles,doctors who have died of covid,,,,
jennifer,04/11,https://twitter.com/jburnmurdoch/status/1249093625532813313,10,3705,FALSE,NO,,,global,reporter,summary of news,diff countries' covid curves,,,,
jennifer,04/11,https://twitter.com/AJENews/status/1248773379076825090,14,343,FALSE,YES,,,global,news,list of articles,diff countries' covid updates,,,,
jennifer,04/11,https://twitter.com/jkwan_md/status/1249005292265844744,6,100,FALSE,NO,,,Ontario,individual,summary of news,local covid stats,physician,,,
jennifer,04/12,https://twitter.com/Barton_options/status/1249310536442970112,6,73,FALSE,NO,,,,individual,tweetorial,will antibodies work,holy shit it's a tweetorial,,**clarify: locality is where people are tweeting about? or where they are,
jennifer,04/12,https://twitter.com/Dikshitsdoshi/status/1249305217889419264,8,80,FALSE,NO,,,India,individual,list of articles,list of times a politician warned gov abt covid,,,,
jennifer,04/12,https://twitter.com/NewIndianXpress/status/1249177046338715653,23,104,FALSE,NO,,,India,news,list of articles,,,,,
jennifer,04/12,https://twitter.com/StatiSense/status/1249303715342843905,21,66,FALSE,NO,,,Nigeria,organization,OTHER,impact of covid on Nigerian economy,thread of twitter polls,,,
sarah,04/12,https://twitter.com/alexwickham/status/1249298019910127616,8,1534,FALSE,NO,,,UK (primarily) and Germany,reporter,summary of article,Differences in response between the UK and Germany,,,,
sarah,04/12,https://twitter.com/PIB_India/status/1249265301893476353,22,394,FALSE,NO,,,India,news,live tweeting,,,,,
sarah,04/12,https://twitter.com/arabnews/status/1249220210911064067,14,94,TRUE,YES,,,Middle East,news,summary of news,new recovered cases,,,,
sarah,04/12,https://twitter.com/scroll_in/status/1249173008482217984,31,123,FALSE,NO,,,US,news,summary of news,death toll,,,,
sarah,04/12,https://twitter.com/cnnphilippines/status/1249123246198468608,10,919,FALSE,NO,,,Phillipines,organization,summary of news,worldwide death/recovery count,,,,
sarah,04/12,https://twitter.com/MutemiWaKiama/status/1249246899099570177,6,106,FALSE,NO,,,Africa? ,individual,opinion,praising Boris Johnson's response to getting Covid-19 ,,African leadership,,
sarah,04/12,https://twitter.com/Mikey_Nicholson/status/1249214481307070464,9,57,FALSE,NO,,,Australia,individual,summary of news,stats,,,,
sarah,04/12,https://twitter.com/DrDenaGrayson/status/1249475059498057731,7,1233,FALSE,NO,,,US,individual,summary of news,coronavirus cases have peaked,,,,
sarah,04/12,https://twitter.com/DrEkstrom/status/1249448312891224066,9,2690,FALSE,NO,,,Sweden,individual,summary of news,current situation in Sweden,,,,
sarah,04/12,https://twitter.com/jburnmurdoch/status/1249444341900337153,6,3664,FALSE,NO,,,global,reporter,summary of article,global updates,,,,
sarah,04/12,https://twitter.com/vexwerewolf/status/1249423805690384385,6,77,FALSE,NO,,,UK,individual,opinion,several rant-y tweets addressing the right wing ,,,,
sarah,04/12,https://twitter.com/arabnews/status/1249220210911064067,29,94,TRUE,YES,,,,,REPEAT,,,,,
sarah,04/13,https://twitter.com/arabnews/status/1249563476227510278,13,73,TRUE,YES,,,Israel,news,summary of news,Israel death toll,,,,
sarah,04/13,https://twitter.com/Emmett_Scanlon/status/1249590374911414272,6,50,FALSE,NO,,,US,individual,list of articles,coronavirus in NYC,,,,
sarah,04/13,https://twitter.com/Independent/status/1249611629626621955,11,223,FALSE,NO,,,UK,news,list of articles,general updates on Covid-19 in the UK,,,,
sarah,04/13,https://twitter.com/cnnphilippines/status/1249534796067307522,12,474,FALSE,NO,,,global,organization,summary of news,general global updates,,,,
sarah,04/13,https://twitter.com/CNNnews18/status/1249602230119874560,24,117,FALSE,YES,,,global,organization,summary of news,photo-essay recount of coronavirus spread,,,,
katy,04/13,https://twitter.com/CNNnews18/status/1249602230119874560,10,117,FALSE,YES,,,global,news,summary of article,,,,,
katy,04/13,https://twitter.com/NewIndianXpress/status/1249510150383325188,14,157,FALSE,NO,,,India,news,list of articles,,,,,
katy,04/13,https://twitter.com/OccupySchagen/status/1243054353075908608,28,82,FALSE,NO,,,global,individual,list of articles,conspiracy theory?,,,,
katy,04/13,https://twitter.com/Vaccinologist/status/1249775319114043393,7,199,FALSE,NO,,,global,individual,summary of news,,scientist,,,
katy,04/13,https://twitter.com/matthewbennett/status/1249632127680987137,19,103,FALSE,NO,,,Spain,reporter,summary of news,,conspiracy theory?,,,
katy,04/13,https://twitter.com/WHO/status/1249718175597543432,20,3064,FALSE,NO,,,global,organization,live tweeting,,,,,
katy,04/13,https://twitter.com/BaronStrucker/status/1249691577745920000,8,775,FALSE,NO,,,USA,individual,list of articles,,list of hospital dnace videos,,,
katy,04/13,https://twitter.com/arabnews/status/1249563476227510278,20,73,TRUE,YES,,,Middle East,news,summary of article,,,,,
katy,04/14,https://twitter.com/arabnews/status/1249922847960694790,18,74,TRUE,YES,,,Middle East,news,summary of article,,,,,
katy,04/14,https://twitter.com/arabnews/status/1249922847960694790,17,74,TRUE,YES,,,,,REPEAT,,,,,
katy,04/14,https://twitter.com/adriennecarter/status/1250002791768248321,6,912,FALSE,NO,,,USA,reporter,list of articles,,,,,
katy,04/14,https://twitter.com/Independent/status/1249976551556481024,6,115,FALSE,NO,,,UK,news,list of articles,,,,,
katy,04/14,https://twitter.com/CNNnews18/status/1249924713096179714,6,234,FALSE,YES,,,India,news,live tweeting,,,,,
katy,04/14,https://twitter.com/FinancialTimes/status/1249900672662855680,8,374,FALSE,NO,,,USA,news,list of articles,,,,,
katy,04/14,https://twitter.com/dna/status/1249916551437807618,7,56,FALSE,NO,,,India,news,live tweeting,,,,,
katy,04/14,https://twitter.com/the_hindu/status/1249919419058458624,8,218,FALSE,NO,,,India,news,summary of article,,,,,
katy,04/14,https://twitter.com/ANCALERTS/status/1249853193623703552,11,278,FALSE,NO,,,Philippines,news,live tweeting,,,,,
katy,04/14,https://twitter.com/karolcummins/status/1250162578954674176,30,88,FALSE,NO,,,USA,reporter,summary of article,,,,,
katy,04/14,https://twitter.com/SteveGuest/status/1250168342855516160,11,89,FALSE,NO,,,USA,politician,opinion,,,,,
katy,04/14,https://twitter.com/AFP/status/1250002405019844608,14,231,TRUE,NO,,,global,news,summary of news,,,,,
jennifer,04/14,https://twitter.com/Independent/status/1249976551556481024,16,115,FALSE,NO,,,UK (mostly),news,list of articles,covid effect + response,,,,
jennifer,04/14,https://twitter.com/DrSimEvans/status/1250085076165107715,14,144,FALSE,NO,,,,reporter,summary of article,climate change resulting from covid,,,,opinion: someone saying something that isn't associated with an article/something else
jennifer,04/14,https://twitter.com/atmccann/status/1241719797672480769,20,687,FALSE,NO,,,US (mostly),reporter,list of articles,covid graphics from nytimes,,,,
jennifer,04/14,https://twitter.com/jkwan_md/status/1250070079959695363,6,77,FALSE,NO,,,Ontario,individual,summary of news,local covid stats,physician,same person + same format as row 47,,
jennifer,04/15,https://twitter.com/matthewbennett/status/1250335791630266369,24,247,FALSE,,,,Spain,reporter,live tweeting,parlaiment meeting,,"""reporter"" but he seems to work for an independent news org he runs himself",,
jennifer,04/15,https://twitter.com/DrDenaGrayson/status/1250381803732566017,6,2529,FALSE,,,,,individual,opinion,social distancing should have been implemented earlier,doctor,,,
jennifer,04/15,https://twitter.com/arabnews/status/1250302586961321985,11,66,TRUE,,,,Middle East,news,summary of news,covid stats,,,,
jennifer,04/15,https://twitter.com/risj_oxford/status/1250312854487445509,6,251,FALSE,,,,global,organization,summary of article,ppl in diff countries' access to news around covid19,,article might actually be useful to us: https://reutersinstitute.politics.ox.ac.uk/infodemic-how-people-six-countries-access-and-rate-news-and-information-about-coronavirus,,
jennifer,04/15,https://twitter.com/LiveLawIndia/status/1250309432799449089,7,56,FALSE,,,,India,news,live tweeting,supreme court meeting,,,,
jennifer,04/15,https://twitter.com/scanman/status/1250284080949637122,7,60,FALSE,,,,India,individual,opinion,gov response to covid,radiologist,,,
jennifer,04/15,https://twitter.com/sampitroda/status/1250272935362719744,8,90,FALSE,,,,India,individual,live tweeting,,,,,
jennifer,04/15,https://twitter.com/CPHO_Canada/status/1250564023147470849,8,1313,FALSE,,,,Canada,politician,summary of news,,,,,
jennifer,04/15,https://twitter.com/ANCALERTS/status/1250554516639891456,6,63,FALSE,,,,Philippines,politician,live tweeting,,,,,
jennifer,04/15,https://twitter.com/mckaycoppins/status/1250398883345305600,8,2155,FALSE,,,,USA,reporter,summary of article,trump's propaganda efforts,,,,"if we scrape locality from user, and they're a reporter, it can be misleading"
jennifer,04/15,https://twitter.com/jburnmurdoch/status/1250538132694499338,6,6635,FALSE,,,,USA,reporter,summary of article,covid stats,,,,eg BBC reporter from china may be in beijing
jennifer,04/15,https://twitter.com/CityCynthia/status/1250469589873561601,9,363,FALSE,,,,Canada,reporter,live tweeting,gov briefing,,,,but they are reporting for a UK audience
jennifer,04/15,https://twitter.com/channelstv/status/1250462224319201288,16,561,FALSE,,,,Nigeria,news,live tweeting,Nigerian Presidential Task Force Briefing,,,,
jennifer,04/16,https://twitter.com/arabnews/status/1250675042486190081,17,66,TRUE,,,,Middle East,news,summary of article,covid stats,,,,
jennifer,04/16,https://twitter.com/firstpost/status/1250610776483590145,14,63,FALSE,,,,India,news,summary of article,,,,,we played ourselves... *article summary 
jennifer,04/16,https://twitter.com/StephenMcDonell/status/1250648100169023494,6,141,FALSE,,,,China,reporter,opinion,china's covid curve,,,,would make autocomplete better
sarah,04/16,https://twitter.com/AJEnglish/status/1250668061167890432,8,1052,FALSE,,,,global,news,list of articles,covid updates,,,,
sarah,04/16,https://twitter.com/Independent/status/1250708798525845506,6,131,FALSE,,,,UK ,news,list of articles,updates in the UK,,,,
sarah,04/16,https://twitter.com/ONS/status/1250703609815236610,6,66,FALSE,,,,UK ,organization,summary of article ,stats for England and Wales,,,,
sarah,04/16,https://twitter.com/CNNnews18/status/1250691691482214401,15,53,FALSE,,,,India,organization,summary of news,structurally vague,,,,
sarah,04/16,https://twitter.com/NewIndianXpress/status/1250608148114595841,19,60,FALSE,,,,India,organization,list of articles,mostly articles related to India,,,,
sarah,04/16,https://twitter.com/IndianExpress/status/1250693156439330816,10,126,FALSE,,,,India,organization,summary of article,opinions in conjunction to an article,,,,
sarah,04/16,https://twitter.com/SteveFDA/status/1250582132264767493,6,60,FALSE,,,,USA,individual,summary of article,doctor,,,,
sarah,04/16,https://twitter.com/ANCALERTS/status/1250574849832960003,9,53,FALSE,,,,Philippines,organization,live tweeting,live-tweet-y style ,,,,
sarah,04/16,https://twitter.com/DrDenaGrayson/status/1250928935866597376,7,1093,FALSE,,,,,,REPEAT,,,,,
sarah,04/16,https://twitter.com/TamaraLeigh_llc/status/1250913259047325699,18,158,FALSE,,,,USA,individual,summary of article ,how Trump plans to re-open the U.S.,,,,
sarah,04/16,https://twitter.com/jburnmurdoch/status/1250902556718649350,9,1993,FALSE,,,,USA,individual,summary of article,,,,,
sarah,04/16,https://twitter.com/ForeignPolicy/status/1250872969469059081,10,237,FALSE,,,,USA,organization,summary of article,what the economy will be like after Coronavirus,,,,
sarah,04/16,https://twitter.com/DemocracyInn/status/1250841976037138434,8,1693,FALSE,,,,USA,individual,summary of news,senators accuse Jared Kushner of enriching his companies ,,,,
sarah,04/16,https://twitter.com/arabnews/status/1250675042486190081,28,66,TRUE,,,,Middle East,organization,summary of article,global/Middle Eastern-focused updates,,,,
sarah,04/16,https://twitter.com/arabnews/status/1250675042486190081,24,66,TRUE,,,,,,REPEAT,,,,,
sarah,04/16,https://twitter.com/jkwan_md/status/1250798678744457223,8,95,FALSE,,,,Canada,individual,summary of news,stats in Ontario,,,,
sarah,04/17,https://twitter.com/Independent/status/1251062664740077568,8,74,FALSE,,,,UK,organization,list of articles,Scotland updates,,,,
katy,04/17,https://twitter.com/AJEnglish/status/1251031562872926209,8,1338,FALSE,,,,global,news,list of articles,,,,,
katy,04/17,https://twitter.com/Daily_Record/status/1250413284295147520,23,69,FALSE,,,,UK,news,list of articles,,,,,
katy,04/17,https://twitter.com/sburall/status/1251104928896110592,13,55,FALSE,,,,?,politician,live tweeting,,,,,
katy,04/17,https://twitter.com/PresidencyZA/status/1251106060808699905,10,191,FALSE,,,,South Africa,politician,OTHER,,official announcement,,,
katy,04/17,https://twitter.com/kcarruthers/status/1251071880032747520,6,142,FALSE,,,,Australia,individual,OTHER,,personal story,,,
katy,04/17,https://twitter.com/zilevandamme/status/1251056736678658051,13,62,FALSE,,,,Africa,politician,list of articles,,good news,,,
katy,04/17,https://twitter.com/weatherindia/status/1251067138569154560,8,57,FALSE,,,,?,news,tweetorial,,"kinda, also, lol, weather channel",,,
katy,04/17,https://twitter.com/guccifer4/status/1251064818284531712,8,54,FALSE,,,,China,individual,opinion,,conspiracy theory,,,
katy,04/17,https://twitter.com/NewIndianXpress/status/1250976580639195137,13,161,FALSE,,,,India,news,list of articles,,,,,
katy,04/17,https://twitter.com/CNNnews18/status/1251006771365212160,11,64,FALSE,,,,India,news,live tweeting,,,,,
katy,04/17,https://twitter.com/CNNnews18/status/1251006771365212160,12,64,FALSE,,,,,,REPEAT,,,,,
katy,04/17,https://twitter.com/IndianExpress/status/1251005183607201792,13,109,FALSE,,,,India,news,live tweeting,,,,,
katy,04/17,https://twitter.com/CNNnews18/status/1251006771365212160,10,64,FALSE,,,,,,REPEAT,,,,,
katy,04/17,https://twitter.com/CNNnews18/status/1251006771365212160,8,64,FALSE,,,,,,REPEAT,,,,,
katy,04/17,https://twitter.com/CNNnews18/status/1251006771365212160,8,64,FALSE,,,,,,REPEAT,,,,,
katy,04/17,https://twitter.com/CNNnews18/status/1251006771365212160,8,64,FALSE,,,,,,REPEAT,,,,,
katy,04/17,https://twitter.com/mariaressa/status/1250959179814076417,9,139,FALSE,,,,Philippines,reporter,list of articles,,,,,
katy,04/17,https://twitter.com/SteveFDA/status/1250945141113847812,11,185,FALSE,,,,USA,politician,list of articles,,official announcment,,,
katy,04/17,https://twitter.com/calmecam/status/1251177769305804802,6,183,FALSE,,,,Canada,individual,opinion,,,,,
katy,04/17,https://twitter.com/dhmontgomery/status/1251246428405420033,9,249,FALSE,,,,Minnesota,reporter,tweetorial,,also summary of article...,,,
jennifer,04/17,https://twitter.com/CityCynthia/status/1251194854425706496,8,83,FALSE,,,,Ontario Canada,reporter,live tweeting,briefing from Premier Doug Ford,,,,
jennifer,04/17,https://twitter.com/QuickTake/status/1251171688596877312,8,89,FALSE,,,,New York,news,live tweeting,Gov Cuomo's covid briefing,,,,
jennifer,04/17,https://twitter.com/IndianExpress/status/1251119387295100929,6,117,FALSE,,,,India,news,list of articles,"effect of covid on healthcare, housing, poverty",,,,
jennifer,04/18,https://twitter.com/arabnews/status/1251404600986435585,11,78,TRUE,,,,Middle East,news,summary of article,,,,,
jennifer,04/18,https://twitter.com/alexwickham/status/1251433231221735424,15,872,FALSE,,,,UK,reporter,summary of article,UK's 3-stage plan for easing lockdown,,,,
jennifer,04/18,https://twitter.com/Gas_Craic/status/1251441358679744515,9,118,FALSE,,,,UK,individual,summary of article,analysis of first 5.5k critically ill NHS covid patients,doctor,,,
jennifer,04/18,https://twitter.com/IndianExpress/status/1251363589316726784,7,87,FALSE,,,,global,news,summary of article,covid stats,,,,
jennifer,04/18,https://twitter.com/NewIndianXpress/status/1251328714731687941,13,104,FALSE,,,,India,news,list of articles,,,,,
jennifer,04/18,https://twitter.com/PollsAndVotes/status/1251321449589194752,12,64,FALSE,,,,USA,reporter,opinion,partison diff in covid responses is increasing,,,,
jennifer,04/18,https://twitter.com/Care2much18/status/1251324945218646016,8,548,FALSE,,,,Ireland,individual,opinion,irish gov isn't to blame for covid nursing home deaths,,,,
jennifer,04/18,https://twitter.com/JohnMTalmadgeMD/status/1251320341747638274,7,506,FALSE,,,,USA,individual,opinion,Trump has dementia,psychiatrist,,,
jennifer,04/18,https://twitter.com/17EmeraldRoses/status/1250569066621792256,21,898,FALSE,,,,,,OTHER,,,,,
jennifer,04/18,https://twitter.com/latimes/status/1251637348778954752,6,97,FALSE,,,,Mexico,news,summary of article,covid in US-owned factories in Mexico,,,,
jennifer,04/18,https://twitter.com/ekitistategov/status/1251531080718602244,22,262,FALSE,,,,Nigeria,politician,OTHER,summary of gov's address,official announcment,,,
jennifer,04/18,https://twitter.com/jkwan_md/status/1251520554038935553,7,105,FALSE,,,,Ontario,individual,summary of news,local covid stats,physician,,,
jennifer,04/18,https://twitter.com/arabnews/status/1251404600986435585,19,78,TRUE,,,,Middle East,news,summary of article,covid stats,,,,
jennifer,04/18,https://twitter.com/kataclysmichaos/status/1251519691845062658,6,57,FALSE,,,,Sri Lanka,reporter,summary of news,what will be open/closed in response to covid,,,,
jennifer,04/18,https://twitter.com/josh_greenberg/status/1251473698214891525,8,78,FALSE,,,,Canada,individual,summary of article,how ppl experience risk,,,,
jennifer,04/19,https://twitter.com/arabnews/status/1251757601144090641,22,84,TRUE,,,,Middle East,news,summary of article,covid stats,,,,
jennifer,04/19,https://twitter.com/Independent/status/1251778815212376067,6,211,FALSE,,,,UK,news,summary of article,,,,,
sarah,04/19,https://twitter.com/firstpost/status/1251705009789526017,17,70,FALSE,,,,India,organization,summary of news,updates on new cases ,,,,
sarah,04/19,https://twitter.com/WIONews/status/1251821698120204289,9,66,FALSE,,,,India,organization,live tweeting,general stats on Covid cases for India,,,,
sarah,04/19,https://twitter.com/AndrewRTDavies/status/1251819589194874882,6,203,FALSE,,,,UK,individual,summary of article,response to a response to an article,,,,
sarah,04/19,https://twitter.com/marcowenjones/status/1251809894535225348,9,144,FALSE,,,,US,individual,OTHER,is this... a tweetorial?,Research about conspiracy theorists using 'Bill Gates' in their tweets,,,
sarah,04/19,https://twitter.com/arabnews/status/1251757601144090641,12,84,TRUE,,,,Middle East,organization,summary of news,Israel death toll,,,,
sarah,04/19,https://twitter.com/SadieTNResist/status/1251789431050252288,7,81,FALSE,,,,US(?),individual,REPEAT,call to give more resources to nursing homes,not a thread,is this 7 tweets long? I only seem to see 1,,
sarah,04/19,https://twitter.com/NewIndianXpress/status/1251700802130976768,13,88,FALSE,,,,India,organization,list of articles,asymptomatic children,,,,
sarah,04/19,https://twitter.com/Mikey_Nicholson/status/1251750329856561158,7,57,FALSE,,,,Australia,individual,summary of news,general stats,,,,
sarah,04/19,https://twitter.com/cnnphilippines/status/1251660282759221248,9,784,FALSE,,,,global,organization,summary of news,worldwide stats,,,,
sarah,04/19,https://twitter.com/WHO/status/1251680913622269953,11,2880,FALSE,,,,global,organization,OTHER,promoting resources/text services for questions and information,,,,
sarah,04/19,https://twitter.com/scroll_in/status/1251704076095516672,8,112,FALSE,,,,India,organization,summary of article,death toll in India,,,,
sarah,04/19,https://twitter.com/WHO/status/1251680913622269953,9,2880,FALSE,,,,,,REPEAT,,,,,
sarah,04/19,https://twitter.com/QuickTake/status/1252003460008103936,6,116,FALSE,,,,USA,organization,live tweeting,Trump press briefing,,,,
sarah,04/19,https://twitter.com/JooBilly/status/1251908868738867202,23,328,FALSE,,,,USA,individual,summary of article,essay on restructuring the Green New Deal,,,,
sarah,04/19,https://twitter.com/DrDenaGrayson/status/1251975051370467329,7,1068,FALSE,,,,USA,individual,summary of news,US cases have peaked,doctor? ,,,
sarah,04/19,https://twitter.com/jburnmurdoch/status/1251965076610916353,9,3371,FALSE,,,,USA,individual,summary of news,update on trajectories of various countries,,,,
sarah,04/19,https://twitter.com/DavidLat/status/1251953708067368961,6,103,FALSE,,,,USA,organization,summary of news,Actor's leg amputated due to having coronavirus,,,,
katy,04/19,https://twitter.com/DrTedros/status/1251925035624861697,8,2603,FALSE,,,,global,politician,opinion,,official announcement,,,
katy,04/19,https://twitter.com/WHO/status/1251906724484825088,22,1721,FALSE,,,,global,organization,live tweeting,,,,,
katy,04/19,https://twitter.com/channelstv/status/1251872354227163136,6,134,FALSE,,,,Nigeria,news,live tweeting,,,,,
katy,04/19,https://twitter.com/PresidencyZA/status/1251437086739173377,6,75,FALSE,,,,South Africa,politician,OTHER,,official announcement,,,
katy,04/19,https://twitter.com/arabnews/status/1251757601144090641,31,84,TRUE,,,,Middle East,news,summary of article,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,